time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.95347206193e-06,5.87596904726e-05,10.0092202845,0.0124042391037,0.000454562699193,0.0,-0.000170293713078,0.00355528952227,0.307304265811,0.0373998452808,-0.00868241190483,0.0,498.3010762860341,497.6661401722829,497.3718808298608,500.1029541532472
0.12000000000000001,-2.71131047931e-05,0.000512349661791,10.0286398555,0.0151309832379,0.00228943834916,0.0,-0.000789498848081,0.0118092438189,0.340001854698,0.0439048858708,0.00697403512839,0.0,414.6110891130727,415.98417451141313,414.6652153330078,415.2370881310305
0.18,-0.000139225459853,0.00156930448019,10.0520565801,0.0248594219574,0.00647494322459,0.0,-0.00339776156593,0.0243867475974,0.44050218693,0.0719062590509,-0.0155211627323,0.0,439.0864782135526,437.2165981323194,435.1469784172873,437.4863343696165
0.23999999999999996,-0.000466936101017,0.00353724449605,10.0804714247,0.0294179157502,0.00554796581789,0.0,-0.00743562269672,0.0416483922074,0.506620596018,0.0762497473801,-0.0153229254714,0.0,425.956543077363,425.9735804571967,426.46694550878993,426.842156919875
0.3,-0.00101159730637,0.00656108238059,10.1104922691,0.034413480674,0.0065866595724,0.0,-0.0107963704727,0.0595796856047,0.494065597262,0.0678443847091,-0.00114735664278,0.0,399.62313634423276,400.91309428803976,400.05490463514667,399.2938127532738
0.36000000000000004,-0.00181355701917,0.0108592257893,10.1429169629,0.0394462651397,0.0121231688487,0.0,-0.0164693612592,0.0842097537302,0.586690064843,0.0558321814991,0.0236157544174,0.0,433.4117799651061,435.48768541465864,436.00263357798985,435.00112812258584
0.4200000000000001,-0.0030646378815,0.0167402094451,10.1811284382,0.0428158260684,0.0155199124107,0.0,-0.0255650092779,0.112163093345,0.686951023341,0.0565802871265,0.0378757707231,0.0,437.35326785545425,438.53943940290446,437.13941496351146,437.2039359925383
0.48000000000000015,-0.00493975275292,0.0243977465181,10.2258046485,0.0484919940527,0.0186862702691,0.0,-0.0372802373785,0.143694192864,0.802146985536,0.0387907633538,0.0262497781604,0.0,442.45016096126454,441.4925855197888,443.6715749327944,442.2104619438192
0.5400000000000001,-0.00761022618105,0.0340960786334,10.2782659402,0.0509912543235,0.023776162419,0.0,-0.052310333667,0.179843829199,0.94642658953,0.042287173191,0.00447719205213,0.0,452.7185984773126,450.9635406550824,451.4882049447422,451.7709649941701
0.6000000000000002,-0.0113022503303,0.0460889523827,10.3405299039,0.0558762075857,0.0242413030049,0.0,-0.0708136239013,0.220487009056,1.12884056671,0.0242594188305,-0.00172484321377,0.0,463.59117599320786,463.1036067815132,464.620587115303,463.20577180390825
