time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,reward
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,1,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,2,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,3,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,4,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,5,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,6,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,7,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,8,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,9,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,10,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,11,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,12,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,13,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,14,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,15,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,16,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,17,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,18,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,19,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,20,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,21,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,22,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,23,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.474611596173,454.08437550746805,455.9468759104948,454.673836571004,24,294.0
