time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,reward
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.588788153361,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,1,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.17927259147,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,2,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.77350894272,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,3,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.37360155149,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,4,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.98173358045,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,5,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6001994062,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,6,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.23144034928,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,7,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.87808495459,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,8,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.54299528553,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,9,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.22932103644,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,10,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.94056373352,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,11,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.68065392744,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,12,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.45404514509,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,13,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.26582955458,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,14,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.1218819409,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,15,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0290408895,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,16,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.995339331,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,17,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0303012742,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,18,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.1453283588,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,19,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.3542099263,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,20,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.6738054764,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,21,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.1249716588,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,22,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.7338424851,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,23,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.5336301312,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,24,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.5672104893,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,25,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.8909220487,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,26,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.5802954209,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,27,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.7389574287,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,28,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.5129566281,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,29,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.114765741,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,30,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.8654835367,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,31,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.2734839606,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,32,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.191902758,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,33,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.1640087465,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,34,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.2764876477,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,35,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-133.642908098,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,36,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-203.60838131,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,37,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-392.719194507,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,38,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1510.7430725,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,39,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-314239.404867,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,40,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.20885358241e+22,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,41,-37.5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.75712024492e+162,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,42,-37.5
0.06,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,43,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,44,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,45,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,46,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,47,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,48,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,49,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,50,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,51,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,52,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,53,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,54,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,55,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,56,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,57,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,58,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,59,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,60,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,61,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,62,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,63,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,64,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,65,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,66,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,67,nan
10.019999999999875,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,438.98082578416376,440.29209387991216,439.9839041966241,438.6754162007564,68,nan
